Sample,Latitude,Longitude,Date,Time,Date.time ,Location,Status,Site,Depth,Successful.count,Successful.length,Observer,Observer.length
BD01-1,-30.3561,114.9626,20210507,7:42:54,2021-05-07T07:42:54+08:00,Jurien Bay,Fished,NA,32.8,Yes,Yes,Ethan,Damon Driessen
BD01-2,-30.358,114.9651,20210507,7:48:14,2021-05-07T07:48:14+08:00,Jurien Bay,Fished,NA,32.5,Yes,Yes,Ethan,Damon Driessen
BD01-3,-30.3597,114.9643,20210507,7:54:09,2021-05-07T07:54:09+08:00,Jurien Bay,Fished,NA,33.6,Yes,Yes,Ethan,Damon Driessen
BD01-4,-30.3563,114.9698,20210507,8:01:44,2021-05-07T08:01:44+08:00,Jurien Bay,Fished,NA,29.8,Yes,Yes,Ethan,Damon Driessen
BD02-1,-30.3522,114.9365,20210507,8:13:25,2021-05-07T08:13:25+08:00,Jurien Bay,Fished,NA,35.3,Yes,Yes,Damon Driessen,Damon Driessen
BD02-2,-30.3531,114.9343,20210507,8:18:10,2021-05-07T08:18:10+08:00,Jurien Bay,Fished,NA,35.8,No,No,Damon Driessen,NA
BD02-3,-30.3509,114.934,20210507,8:22:10,2021-05-07T08:22:10+08:00,Jurien Bay,Fished,NA,34.8,Yes,Yes,Damon Driessen,Damon Driessen
BD02-4,-30.3526,114.939,20210507,8:27:29,2021-05-07T08:27:29+08:00,Jurien Bay,Fished,NA,34.2,Yes,Yes,Damon Driessen,Damon Driessen
BD03-1,-30.2572,114.9387,20210507,10:00:03,2021-05-07T10:00:03+08:00,Jurien Bay,Fished,NA,34,Yes,Yes,Chris Douglas,Damon Driessen
BD03-2,-30.2595,114.9323,20210507,10:05:23,2021-05-07T10:05:23+08:00,Jurien Bay,Fished,NA,35.2,Yes,Yes,Chris Douglas,Damon Driessen
BD03-3,-30.2536,114.9261,20210507,10:09:21,2021-05-07T10:09:21+08:00,Jurien Bay,Fished,NA,34.7,Yes,No,Chris Douglas,NA
BD03-4,-30.2503,114.9332,20210507,10:12:44,2021-05-07T10:12:44+08:00,Jurien Bay,Fished,NA,34.1,Yes,Yes,Chris Douglas,Damon Driessen
BD04-1,-30.2342,114.934,20210507,10:19:01,2021-05-07T10:19:01+08:00,Jurien Bay,Fished,NA,34.3,Yes,Yes,Chris Douglas,Damon Driessen
BD04-2,-30.2358,114.9331,20210507,10:22:34,2021-05-07T10:22:34+08:00,Jurien Bay,Fished,NA,33.7,Yes,Yes,Chris Douglas,Damon Driessen
